ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
546,variation,07503050663797,"CACAHUATE JAPONES C/QUESO CHEDAR - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:544,,,,,,2,GRAMOS,"1 kg",,0
551,variable,,"CACAHUATE JAPONES SABOR MANGO",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/297.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-JAPONES-SABOR-MANGO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
552,variation,07503018231969,"CACAHUATE JAPONES SABOR MANGO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:551,,,,,,1,GRAMOS,"200 gr",,0
553,variation,07503050663803,"CACAHUATE JAPONES SABOR MANGO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:551,,,,,,2,GRAMOS,"1 kg",,0
557,variable,,"CACAHUATE MIX",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,1,,,,Cacahuates,,,http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/342.png,,,,,,,,,0,GRAMOS,"250 gr, 1 kg",1,0
558,variation,07503050663216,"CACAHUATE MIX - 250 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30,,,,,,,id:557,,,,,,1,GRAMOS,"250 gr",,0
559,variation,07503050668051,"CACAHUATE MIX - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,140,,,,,,,id:557,,,,,,2,GRAMOS,"1 kg",,0
563,variable,,"CACAHUATE SALADO",1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Cacahuates,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/61.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/CACAHUATE-SALADO.png",,,,,,,,,0,GRAMOS,"200 gr, 1 kg",1,0
564,variation,07503018231976,"CACAHUATE SALADO - 200 gr",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,,,,id:563,,,,,,1,GRAMOS,"200 gr",,0
565,variation,07503050663810,"CACAHUATE SALADO - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,90,,,,,,,id:563,,,,,,2,GRAMOS,"1 kg",,0
